2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
HST,ETR,TAP,LVLT,SYMC,HRS,AMP,VTRS,FITB,TROW,DFS
ISRG,ROP,SJM,NBL,MHK,IDXX,MKC,AVB,WLTW,URI,FANG
HSY,NUE,SWKS,FTV,SWKS,AME,SNPS,HSY,RSG,GPC,ACGL
KORS,MNST,EXPE,LB,DHI,RSG,CDW,KHC,GLW,EIX,HSY
AVB,KORS,UA,WLTW,CNC,ETR,HPE,PAYC,ETSY,CBRE,XYL
FRX,GWW,CMI,DLR,UAL,SYF,SWKS,ARE,HSY,CDW,EIX
CAG,CAG,IR,MCO,MGM,BLL,CBRE,O,CDW,GLW,SBAC
CAM,HSY,DTE,PFG,XLNX,KEY,CCL,CHD,ALB,HIG,AVB
APH,DTE,VIAB,CLX,HRS,FITB,FRC,VRSN,IT,EFX,MTD
XRX,ROK,IVZ,XLNX,LNC,ALGN,ALGN,PPL,TSCO,FANG,WEC
NTAP,WHR,SYMC,ESS,K,FAST,BBY,MKTX,DVN,HPQ,WST
XEL,PAYX,NBL,LNC,VMC,HSY,KHC,VIAC,VMC,ULTA,HPQ
NTRS,SWK,BCR,LLTC,AME,NTAP,BXP,LEN,MLM,VMC,DAL
ORLY,LNC,BEN,ULTA,OMC,DXC,KEY,WST,CERN,ACGL,WBD
FE,NTRS,WDC,SYMC,INCY,EVRG,ESS,CBRE,FTV,AEE,AWK
SWN,XRX,A,SJM,ANDV,CBS,VRSN,ZBRA,ZBH,ETR,FTV
RRC,EA,CTL,O,KLAC,ABMD,CDNS,EQR,EXPE,LEN,WY
ROP,RF,ADSK,A,INFO,CTAS,CLX,RSG,OKE,DTE,APTV
CHK,NLSN,ROK,MRO,AWK,AMP,KEYS,TER,TER,WY,TTWO
KSU,HOT,TYC,ADSK,LH,K,UAL,FTNT,EIX,FE,RMD
RN7,DLTR,FE,GGP,CTL,CTL,MTD,ETR,MAA,FTV,ZBH
LNC,PGR,EFX,CERN,WRK,FANG,VMC,SIVB,DOV,AVB,CAH
EQT,MOS,PH,HBAN,O,FRC,FCX,LH,TSN,EBAY,LYB
PFG,KMX,HSIC,HSY,HLT,WAT,WDC,VMC,SWKS,FITB,TROW
ES,MSI,GPC,EFX,ALGN,CNP,AEE,FITB,IR,FRC,BR
ESV,PFG,AA,GPC,GPN,MTD,RSG,LVS,KHC,PPL,STT
CF,HOG,MAR,NOV,APA,GPC,ARE,IP,SYF,ARE,HIG
LUV,BBBY,O,NLSN,HSY,MYL,CPRT,AEE,LUV,IR,ULTA
FLR,DPS,NUE,MLM,MTD,CMS,IP,NTRS,OXY,ANSS,WTW
LIFE,LVLT,HSY,MCHP,ESS,FCX,DHI,KSU,PKI,MLM,FITB
FAST,RCL,AME,HST,FAST,MXIM,CMS,TFX,DRE,MKC,GLW
AME,BF/B,ENDP,CTXS,HBAN,CFG,AJG,QRVO,DAL,LYB,TSCO
GPC,ADSK,TSO,HCP,DOV,ULTA,OMC,TSN,NTRS,DAL,CHD
OKE,A,VMC,SWKS,LLL,RF,CFG,HOLX,CHD,NDAQ,MTB
ADS,EW,NOV,RCL,RSG,LLL,CXO,ODFL,ENPH,RJF,DTE
BWA,CF,LRCX,BEN,CAG,TSS,AMCR,SYF,STE,LH,WAB
SWK,CLX,RF,EXPE,WAT,KLAC,MLM,CDW,VRSN,WBD,ILMN
EMN,KSU,LH,MSI,XRAY,IFF,TFX,PXD,NDAQ,WAT,EBAY
